==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	17   	
Second      	22   	
Millisecond 	240  	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	5.04006733681664e-12
1923.07692307692	4.61986874637977e-12
3846.15384615385	3.97126019891811e-12
5769.23076923077	2.34527077434978e-12
7692.30769230769	1.56460558139862e-12
9615.38461538462	1.36937433731819e-12
11538.4615384615	1.67163614303607e-12
13461.5384615385	1.84671081985109e-12
15384.6153846154	1.63974138769776e-12
17307.6923076923	1.43183077136851e-12
19230.7692307692	1.42360666664532e-12
21153.8461538462	1.2236291353448e-12
23076.9230769231	1.07119701230073e-12
25000	1.26471172562874e-12
26923.0769230769	1.49624448252025e-12
28846.1538461538	1.59079659596459e-12
30769.2307692308	1.22533925305273e-12
32692.3076923077	9.62948760296751e-13
34615.3846153846	1.08665360205166e-12
36538.4615384615	1.09587460422008e-12
38461.5384615385	1.08582352154615e-12
40384.6153846154	1.1030131420055e-12
42307.6923076923	1.10943001938187e-12
44230.7692307692	1.08030203700026e-12
46153.8461538462	1.21433752313432e-12
48076.9230769231	1.30674888176975e-12
50000	1.18803329414047e-12
51923.0769230769	1.04685809546515e-12
53846.1538461538	8.8432065759422e-13
55769.2307692308	8.691364225674e-13
57692.3076923077	1.05184456456243e-12
59615.3846153846	1.44129951469869e-12
61538.4615384615	1.45807964925007e-12
63461.5384615385	1.18271281202063e-12
65384.6153846154	1.14706326154511e-12
67307.6923076923	1.14808133043681e-12
69230.7692307692	1.09110101096953e-12
71153.8461538462	1.1007135553341e-12
73076.9230769231	1.22226275975382e-12
75000	1.38504211957257e-12
76923.0769230769	1.42427956687249e-12
78846.1538461538	1.31400932776812e-12
80769.2307692308	1.15672169282865e-12
82692.3076923077	1.36386693804355e-12
84615.3846153846	1.5432395614758e-12
86538.4615384615	1.66625319730155e-12
88461.5384615385	2.21985019757255e-12
90384.6153846154	2.51217044090248e-12
92307.6923076923	1.84562109773265e-12
94230.7692307692	1.75491814711315e-12
96153.8461538462	3.09333466782471e-12
98076.9230769231	1.26846428144338e-11
100000	1.80932570238853e-11
101923.076923077	7.60626249291212e-12
103846.153846154	3.20660750980217e-12
105769.230769231	2.88543605854085e-12
107692.307692308	2.77463291764151e-12
109615.384615385	2.26819085136739e-12
111538.461538462	1.99654335805779e-12
113461.538461538	2.29284111505715e-12
115384.615384615	3.513012919748e-12
117307.692307692	6.28074686091094e-12
119230.769230769	8.87074659112405e-12
121153.846153846	9.17415909788632e-12
123076.923076923	8.09051977303221e-12
125000	5.10860801296984e-12
126923.076923077	3.21392768544864e-12
128846.153846154	2.92640753795746e-12
130769.230769231	3.34249102592873e-12
132692.307692308	3.09690697413336e-12
134615.384615385	2.31317908813277e-12
136538.461538462	2.06524068050476e-12
138461.538461538	2.32139406254661e-12
140384.615384615	2.26603620370194e-12
142307.692307692	1.9446571581069e-12
144230.769230769	1.67711602547837e-12
146153.846153846	1.49538520917058e-12
148076.923076923	1.54924264940991e-12
150000	1.91470094047615e-12
151923.076923077	2.36612784520181e-12
153846.153846154	2.11308570831968e-12
155769.230769231	1.43975583510881e-12
157692.307692308	1.3273799954517e-12
159615.384615385	1.33378935877676e-12
161538.461538462	1.16510364635371e-12
163461.538461538	1.22293501482219e-12
165384.615384615	1.40802940076014e-12
167307.692307692	1.36846771690932e-12
169230.769230769	1.76935285668957e-12
171153.846153846	2.33344329669245e-12
173076.923076923	2.28077314509583e-12
175000	1.79446085506486e-12
176923.076923077	2.53077448293312e-12
178846.153846154	7.04296165284665e-12
180769.230769231	9.53759053252857e-12
182692.307692308	6.69794163649106e-12
184615.384615385	7.10801224676571e-12
186538.461538462	6.68779484466743e-12
188461.538461538	9.36334967296685e-12
190384.615384615	5.74730886415206e-12
192307.692307692	2.10180507429906e-12
194230.769230769	1.63696109960492e-12
196153.846153846	2.18288436215377e-12
198076.923076923	2.16194420150335e-12
200000	1.88331608757928e-12
201923.076923077	1.65034439833052e-12
203846.153846154	1.25228246510775e-12
205769.230769231	1.13962362167836e-12
207692.307692308	1.59192322049465e-12
209615.384615385	2.06761117383825e-12
211538.461538462	2.17417008826476e-12
213461.538461538	2.56021619418516e-12
215384.615384615	3.17498224467643e-12
217307.692307692	4.93144692872266e-12
219230.769230769	1.05735247464564e-11
221153.846153846	2.22019339630266e-11
223076.923076923	2.97663636235255e-11
225000	2.42690492695499e-11
226923.076923077	1.81160771559639e-11
228846.153846154	1.84792778735844e-11
230769.230769231	2.489461803757e-11
232692.307692308	3.22143717302271e-11
234615.384615385	4.05694932887166e-11
236538.461538462	3.38555137297534e-11
238461.538461538	1.63020567098116e-11
240384.615384615	7.02975392607661e-12
242307.692307692	3.86138116840533e-12
244230.769230769	2.51038813549759e-12
246153.846153846	1.97094358180971e-12
248076.923076923	1.78498466512977e-12
250000	1.76803543643112e-12
251923.076923077	2.40764288280345e-12
253846.153846154	4.21572331134635e-12
255769.230769231	5.53404935752001e-12
257692.307692308	6.51080613566567e-12
259615.384615385	7.48250438922551e-12
261538.461538462	6.64254587855898e-12
263461.538461538	5.37593197058295e-12
265384.615384615	4.55054084888086e-12
267307.692307692	4.06638928491891e-12
269230.769230769	3.84435175654575e-12
271153.846153846	3.44347945372503e-12
273076.923076923	2.60841547731797e-12
275000	1.90615963959335e-12
276923.076923077	1.14969192325011e-12
278846.153846154	7.80507322955944e-13
280769.230769231	7.70601143866087e-13
282692.307692308	9.21746137871297e-13
284615.384615385	1.21055261877481e-12
286538.461538462	1.42317907751532e-12
288461.538461538	1.38639804696422e-12
290384.615384615	1.17587826841789e-12
292307.692307692	1.46039448016543e-12
294230.769230769	2.38335306975994e-12
296153.846153846	2.31493931280143e-12
298076.923076923	1.79473198096657e-12
300000	1.99746952472615e-12
301923.076923077	1.92396989038509e-12
303846.153846154	1.62663837610892e-12
305769.230769231	1.40028143350398e-12
307692.307692308	1.06649156873248e-12
309615.384615385	1.05666728441866e-12
311538.461538462	1.04130606549192e-12
313461.538461538	1.00334400032936e-12
315384.615384615	9.51692889726282e-13
317307.692307692	1.06218738639738e-12
319230.769230769	1.47634875891679e-12
321153.846153846	1.72610385904013e-12
323076.923076923	2.04522425597799e-12
325000	2.86747716389947e-12
326923.076923077	3.73249186033792e-12
328846.153846154	3.40817662243164e-12
330769.230769231	2.39538302697847e-12
332692.307692308	1.89956426153679e-12
334615.384615385	1.7944766170772e-12
336538.461538462	1.89849671290987e-12
338461.538461538	1.69006144653667e-12
340384.615384615	1.41867346179711e-12
342307.692307692	1.11350107787027e-12
344230.769230769	9.09063086488595e-13
346153.846153846	1.10148148604533e-12
348076.923076923	1.33359255190712e-12
350000	1.26269153845877e-12
351923.076923077	1.4549222353107e-12
353846.153846154	1.83049021547167e-12
355769.230769231	1.57703989629059e-12
357692.307692308	1.56908945420251e-12
359615.384615385	1.79123885755844e-12
361538.461538462	2.00295462331327e-12
363461.538461538	2.66524114845776e-12
365384.615384615	3.83550136827395e-12
367307.692307692	5.91879218519194e-12
369230.769230769	1.59800338970964e-11
371153.846153846	3.39308631924051e-11
373076.923076923	2.08823918743544e-11
375000	5.87742962143974e-12
376923.076923077	4.02510336003966e-12
378846.153846154	4.69241211225541e-12
380769.230769231	6.17925033042954e-12
382692.307692308	2.69019824451347e-11
384615.384615385	1.37791920532305e-10
386538.461538462	1.72241900046829e-10
388461.538461538	5.03587668603744e-11
390384.615384615	1.93654857532403e-11
392307.692307692	1.54457940634984e-11
394230.769230769	7.02835858228785e-12
396153.846153846	4.12099370937602e-12
398076.923076923	4.17753476680058e-12
400000	4.60986460292615e-12
401923.076923077	3.64626914829207e-12
403846.153846154	2.78376771693453e-12
405769.230769231	2.76239626846005e-12
407692.307692308	2.47566735368914e-12
409615.384615385	2.16183026574325e-12
411538.461538462	1.57413085225255e-12
413461.538461538	1.12794605214902e-12
415384.615384615	9.6340392003626e-13
417307.692307692	1.10193824281958e-12
419230.769230769	1.43846648681229e-12
421153.846153846	1.60711921698202e-12
423076.923076923	1.78890864878082e-12
425000	2.61182692967773e-12
426923.076923077	3.52311151653591e-12
428846.153846154	2.96918631096696e-12
430769.230769231	2.60273505016844e-12
432692.307692308	2.68825421469715e-12
434615.384615385	2.52747333777219e-12
436538.461538462	2.41402955398858e-12
438461.538461538	2.15998534275097e-12
440384.615384615	2.03394498299765e-12
442307.692307692	1.79884802950016e-12
444230.769230769	1.45642332826602e-12
446153.846153846	1.29158325078502e-12
448076.923076923	1.10882795035458e-12
450000	9.38589532446783e-13
451923.076923077	8.7314596522104e-13
453846.153846154	8.76916702229077e-13
455769.230769231	1.07623512997712e-12
457692.307692308	1.18104973616519e-12
459615.384615385	7.29252502542316e-12
461538.461538462	2.21302067895546e-10
463461.538461538	9.28229688969336e-10
465384.615384615	5.97709161200429e-10
467307.692307692	5.51746448278061e-11
469230.769230769	1.60533025428406e-12
471153.846153846	1.14211083180003e-12
473076.923076923	1.32524108023722e-12
475000	1.5159155809583e-12
476923.076923077	1.59822517905874e-12
478846.153846154	1.24831788774178e-12
480769.230769231	1.1572826749426e-12
482692.307692308	1.30448507895282e-12
484615.384615385	1.38717032537473e-12
486538.461538462	1.57855050805509e-12
488461.538461538	2.00482742358165e-12
490384.615384615	2.25190474887068e-12
492307.692307692	2.0797017945828e-12
494230.769230769	2.18106361803345e-12
496153.846153846	2.40514026961669e-12
498076.923076923	3.76113064256269e-12
500000	9.56190785271525e-12
501923.076923077	1.91289720936195e-11
503846.153846154	1.39377412120361e-11
505769.230769231	1.48235333542044e-11
507692.307692308	1.97126388183604e-11
509615.384615385	2.73694968536045e-11
511538.461538462	2.56117661536405e-11
513461.538461538	7.15036229409455e-12
515384.615384615	1.69235208622735e-12
517307.692307692	1.11832748517648e-12
519230.769230769	1.24857229716693e-12
521153.846153846	1.37997585875235e-12
523076.923076923	1.09258752186135e-12
525000	9.81715378321503e-13
526923.076923077	9.93588116998525e-13
528846.153846154	1.08202471569833e-12
530769.230769231	1.44041612505483e-12
532692.307692308	2.05944390865693e-12
534615.384615385	2.60806266488327e-12
536538.461538462	2.6253467638818e-12
538461.538461538	2.6869558284949e-12
540384.615384615	3.08725981216965e-12
542307.692307692	2.50911835320856e-12
544230.769230769	2.17559138295404e-12
546153.846153846	3.12668877298068e-12
548076.923076923	3.69251963537807e-12
550000	2.86646482688921e-12
551923.076923077	3.75565057778355e-12
553846.153846154	4.11579180509587e-12
555769.230769231	1.85848237038937e-12
557692.307692308	9.86100483069623e-13
559615.384615385	9.33925019569153e-13
561538.461538462	8.70611073385736e-13
563461.538461538	9.14422320797653e-13
565384.615384615	1.28329870864738e-12
567307.692307692	1.80293234281276e-12
569230.769230769	1.99693271671103e-12
571153.846153846	1.56179080724069e-12
573076.923076923	1.33182961534485e-12
575000	1.32110818561352e-12
576923.076923077	1.54318805219767e-12
578846.153846154	1.24551186287855e-12
580769.230769231	1.08662305911683e-12
582692.307692308	1.08189356647801e-12
