==Info==
Type  	MyTrace           	
Name1 	Frequency         	
Name2 	Power             	
Unit1 	Hz                	
Unit2 	$\mathrm{V}^2/\mathrm{Hz}$ 	

==AcquiringInstrument==
Name 	RSA5103 	

==AcquisitionTime==
Year        	2019 	
Month       	11   	
Day         	8    	
Hour        	12   	
Minute      	5    	
Second      	41   	
Millisecond 	329  	

==RSA5103==
idn           	TEKTRONIX,RSA5103A,B010116, FV:3.5.0134  	
rbw           	1                	% Nominal resolution bandwidth (Hz)
rbw_act       	3029.1172        	% Actual resolution bandwidth (Hz)
auto_rbw      	0                	
span          	20000000         	% (Hz)
start_freq    	0                	% (Hz)
stop_freq     	20000000         	% (Hz)
cent_freq     	10000000         	% (Hz)
init_cont     	0                	% Continuous triggering on/off
point_no      	10401            	
ref_level     	-18              	% (dB)
disp_y_scale  	10               	% (dBm/div)
disp_y_offset 	-30              	% (dBm)
disp_trace1   	1                	% On/off
det_trace1    	average          	
func_trace1   	normal           	
average_no1   	1                	
cnt_trace1    	0                	% Count completed averages
disp_trace2   	1                	% On/off
det_trace2    	average          	
func_trace2   	average          	
average_no2   	100              	
cnt_trace2    	1                	% Count completed averages
disp_trace3   	0                	% On/off
det_trace3    	average          	
func_trace3   	average          	
average_no3   	10               	
cnt_trace3    	1                	% Count completed averages
acq_trace     	2                	% The number of last read trace

==Data==
0	1.53290990530654e-13
1923.07692307692	1.38533899558898e-13
3846.15384615385	1.17535989096585e-13
5769.23076923077	6.99561689186751e-14
7692.30769230769	4.79083308092247e-14
9615.38461538462	4.25589050986829e-14
11538.4615384615	5.14747091100488e-14
13461.5384615385	5.65869566703965e-14
15384.6153846154	5.02404047530338e-14
17307.6923076923	4.4007658085617e-14
19230.7692307692	4.43572421879911e-14
21153.8461538462	3.87746413081698e-14
23076.9230769231	3.45794938817936e-14
25000	3.95526064746399e-14
26923.0769230769	4.55949502847417e-14
28846.1538461538	4.83759305323741e-14
30769.2307692308	3.80101751024646e-14
32692.3076923077	2.99528154763609e-14
34615.3846153846	3.3183804525522e-14
36538.4615384615	3.34760933455734e-14
38461.5384615385	3.29147038643109e-14
40384.6153846154	3.36320039255492e-14
42307.6923076923	3.47642921361927e-14
44230.7692307692	3.42286498694417e-14
46153.8461538462	3.73123313023012e-14
48076.9230769231	3.90818319546021e-14
50000	3.57808106286751e-14
51923.0769230769	3.2329998229662e-14
53846.1538461538	2.75697617055656e-14
55769.2307692308	2.65643928792841e-14
57692.3076923077	3.15097822892061e-14
59615.3846153846	4.26954945087916e-14
61538.4615384615	4.32726203297519e-14
63461.5384615385	4.5166369592767e-14
65384.6153846154	1.30353668822241e-13
67307.6923076923	1.74780181481404e-13
69230.7692307692	6.39010409706795e-14
71153.8461538462	3.36636278957252e-14
73076.9230769231	3.69961648741857e-14
75000	4.1703928745508e-14
76923.0769230769	4.28676009606533e-14
78846.1538461538	3.99142430573397e-14
80769.2307692308	3.54220092245216e-14
82692.3076923077	4.10519854151594e-14
84615.3846153846	4.6183513268364e-14
86538.4615384615	5.02154336701572e-14
88461.5384615385	6.60816440851723e-14
90384.6153846154	7.44754892945793e-14
92307.6923076923	5.5937501257368e-14
94230.7692307692	5.30207194081278e-14
96153.8461538462	9.07043554949082e-14
98076.9230769231	3.69889514228712e-13
100000	5.27352614140316e-13
101923.076923077	2.22657170952786e-13
103846.153846154	9.44456266926132e-14
105769.230769231	8.57511630664011e-14
107692.307692308	8.36072180365869e-14
109615.384615385	6.70836897619014e-14
111538.461538462	5.83538216749198e-14
113461.538461538	6.64732028803635e-14
115384.615384615	9.94132852611939e-14
117307.692307692	1.7752871689437e-13
119230.769230769	2.49642510256554e-13
121153.846153846	2.57902199536993e-13
123076.923076923	2.26051358449987e-13
125000	1.43827950085078e-13
126923.076923077	9.12347608129122e-14
128846.153846154	8.4174901265119e-14
130769.230769231	9.73094180185892e-14
132692.307692308	8.91516139665768e-14
134615.384615385	6.63797313481189e-14
136538.461538462	6.07624423236535e-14
138461.538461538	6.7849086497193e-14
140384.615384615	6.42968453370368e-14
142307.692307692	5.50765933463851e-14
144230.769230769	4.8614897802251e-14
146153.846153846	4.47832585264807e-14
148076.923076923	4.75282553033687e-14
150000	5.96700423547677e-14
151923.076923077	7.2092837429301e-14
153846.153846154	6.28243522788881e-14
155769.230769231	4.23547654598945e-14
157692.307692308	3.87895617337482e-14
159615.384615385	3.9130539629731e-14
161538.461538462	3.47821907150295e-14
163461.538461538	3.61780579368904e-14
165384.615384615	4.03484486915906e-14
167307.692307692	3.5582106677861e-14
169230.769230769	3.83981608255241e-14
171153.846153846	4.15158492866266e-14
173076.923076923	4.22027298741272e-14
175000	4.58639090763345e-14
176923.076923077	8.92357562170192e-14
178846.153846154	3.45586639581767e-13
180769.230769231	5.17169897375478e-13
182692.307692308	3.19902300308609e-13
184615.384615385	3.05563044523203e-13
186538.461538462	3.33521783880989e-13
188461.538461538	5.18874375636921e-13
190384.615384615	2.77393110876261e-13
192307.692307692	7.00726466923535e-14
194230.769230769	3.88480041842426e-14
196153.846153846	3.71036882403287e-14
198076.923076923	3.81399371303853e-14
200000	4.34996728640782e-14
201923.076923077	4.48765822209978e-14
203846.153846154	3.60658666811365e-14
205769.230769231	3.36835633043755e-14
207692.307692308	4.64784739298717e-14
209615.384615385	6.01649676361151e-14
211538.461538462	6.35433842977665e-14
213461.538461538	7.40881858906143e-14
215384.615384615	8.95235666662674e-14
217307.692307692	1.35252639857707e-13
219230.769230769	2.90958870727064e-13
221153.846153846	6.33123987227236e-13
223076.923076923	8.81267070219287e-13
225000	7.30051065966095e-13
226923.076923077	5.25873350774401e-13
228846.153846154	5.1283269638882e-13
230769.230769231	6.7559590759006e-13
232692.307692308	8.66196131714336e-13
234615.384615385	1.12497178586037e-12
236538.461538462	9.87152559273522e-13
238461.538461538	4.90150277225211e-13
240384.615384615	2.08402469549345e-13
242307.692307692	1.14058900129465e-13
244230.769230769	7.46236091386514e-14
246153.846153846	5.83674573751082e-14
248076.923076923	5.41691413577463e-14
250000	5.41533469814913e-14
251923.076923077	7.24190583060619e-14
253846.153846154	1.22574185424053e-13
255769.230769231	1.60463665055102e-13
257692.307692308	1.8829224191876e-13
259615.384615385	2.10549323216687e-13
261538.461538462	1.86343849076255e-13
263461.538461538	1.5379809519205e-13
265384.615384615	1.33277751847615e-13
267307.692307692	1.2076044691053e-13
269230.769230769	1.14817411031469e-13
271153.846153846	1.01044588591391e-13
273076.923076923	7.57510576386389e-14
275000	5.56482649532233e-14
276923.076923077	3.40570478235226e-14
278846.153846154	2.34727807998698e-14
280769.230769231	2.32427496582788e-14
282692.307692308	2.75477336271265e-14
284615.384615385	3.56907866555003e-14
286538.461538462	4.1785256240776e-14
288461.538461538	3.98331981493998e-14
290384.615384615	3.41944526528074e-14
292307.692307692	4.3504563846946e-14
294230.769230769	7.27507171391536e-14
296153.846153846	7.75307521972309e-14
298076.923076923	6.13088487815459e-14
300000	6.41926747576527e-14
301923.076923077	6.1336103767359e-14
303846.153846154	5.68178546211377e-14
305769.230769231	5.14175004302737e-14
307692.307692308	3.46793234328752e-14
309615.384615385	3.19919722253868e-14
311538.461538462	3.10355142706596e-14
313461.538461538	2.90087666688671e-14
315384.615384615	2.71815239552345e-14
317307.692307692	3.083184039536e-14
319230.769230769	4.27961942233725e-14
321153.846153846	4.99762365148955e-14
323076.923076923	5.8045258897697e-14
325000	7.94966698852081e-14
326923.076923077	1.06083168509236e-13
328846.153846154	1.01213362331362e-13
330769.230769231	7.26082280582731e-14
332692.307692308	5.6626634436318e-14
334615.384615385	5.31494130228761e-14
336538.461538462	5.56553040567575e-14
338461.538461538	4.98287834418482e-14
340384.615384615	4.24651042407944e-14
342307.692307692	3.32429684210571e-14
344230.769230769	2.73930185146427e-14
346153.846153846	3.3716420349687e-14
348076.923076923	4.06065705006015e-14
350000	3.82119648689391e-14
351923.076923077	4.27806344848018e-14
353846.153846154	5.29359337719976e-14
355769.230769231	4.66245303191498e-14
357692.307692308	4.73751232099993e-14
359615.384615385	5.34241596915576e-14
361538.461538462	5.95066357247804e-14
363461.538461538	7.95746352607786e-14
365384.615384615	1.12618785182544e-13
367307.692307692	1.67464006282023e-13
369230.769230769	4.40887532847184e-13
371153.846153846	9.32431576481882e-13
373076.923076923	5.82585632719254e-13
375000	1.70241281118606e-13
376923.076923077	1.18618559967602e-13
378846.153846154	1.35971390466381e-13
380769.230769231	1.78563701853681e-13
382692.307692308	7.58759843102629e-13
384615.384615385	3.80458490040994e-12
386538.461538462	4.72691295188176e-12
388461.538461538	1.39312664629877e-12
390384.615384615	5.48839052338783e-13
392307.692307692	4.40667623551382e-13
394230.769230769	2.03306619071846e-13
396153.846153846	1.19511483105134e-13
398076.923076923	1.18460712182083e-13
400000	1.34431374563871e-13
401923.076923077	1.11386693316744e-13
403846.153846154	8.16511678509978e-14
405769.230769231	7.98318468446422e-14
407692.307692308	7.29599763824003e-14
409615.384615385	6.30575450750025e-14
411538.461538462	4.47464550545654e-14
413461.538461538	3.17496551193216e-14
415384.615384615	2.96245999801029e-14
417307.692307692	3.94722265188355e-14
419230.769230769	5.71219999115659e-14
421153.846153846	6.46906690468547e-14
423076.923076923	6.85188968486295e-14
425000	9.37146249599016e-14
426923.076923077	1.27116680604368e-13
428846.153846154	1.19650760894728e-13
430769.230769231	1.11467732928738e-13
432692.307692308	1.14873094705734e-13
434615.384615385	1.03316839033904e-13
436538.461538462	9.61211319705407e-14
438461.538461538	8.72532627004149e-14
440384.615384615	8.5478633933036e-14
442307.692307692	7.22022174312838e-14
444230.769230769	4.95796684068392e-14
446153.846153846	3.79214697108166e-14
448076.923076923	2.99542362257478e-14
450000	2.47889212528493e-14
451923.076923077	2.46794240608706e-14
453846.153846154	2.57408830863137e-14
455769.230769231	3.16346314510838e-14
457692.307692308	3.51403752581458e-14
459615.384615385	2.0935248063546e-13
461538.461538462	6.31128461704629e-12
463461.538461538	2.64634587163301e-11
465384.615384615	1.70412733635038e-11
467307.692307692	1.57511284973692e-12
469230.769230769	4.84318820691232e-14
471153.846153846	3.50595373925272e-14
473076.923076923	3.96479829843592e-14
475000	4.44524112099859e-14
476923.076923077	4.66059411705667e-14
478846.153846154	3.75063310145576e-14
480769.230769231	3.53956347948136e-14
482692.307692308	3.93345456342537e-14
484615.384615385	4.12553536769826e-14
486538.461538462	4.73852778021644e-14
488461.538461538	5.97684486347512e-14
